city_name,country,latitude,longitude,max_temperature,humidity,cloudiness,wind speed
Mitú,CO,1.1983,-70.1733,22.99,98,100,0.57
Nouadhibou,MR,20.931,-17.0347,18.44,76,0,6.26
Joigny,FR,47.9829,3.401,9.26,91,83,1.91
Yablonovo,RU,50.8523,37.3574,7.37,94,0,2.93
Bethel,US,41.3712,-73.414,10.05,61,0,2.06
Husavik,IS,66.0449,-17.3389,5.46,89,100,0.29
Slave Lake,CA,55.2834,-114.769,12.34,46,100,4.4
Saint-Pierre,RE,-21.3393,55.4781,23.82,72,75,7.72
Puerto Madryn,AR,-42.7692,-65.0385,14.23,34,35,10.55
Stephenville,US,32.2207,-98.2023,18.75,92,100,4.63
Arraial do Cabo,BR,-22.9661,-42.0278,23.95,76,100,4.9
Bintulu,MY,3.1667,113.0333,24.34,92,100,0.83
Bacalar,MX,18.6667,-88.3833,26.4,70,4,3.38
Lejanías,CO,3.5251,-74.0216,21.39,94,100,1.11
Springdale,US,36.1867,-94.1288,15.38,98,100,3.6
Maxixe,MZ,-23.8597,35.3472,22.93,89,0,1.49
Hirara,JP,24.8,125.2833,25.74,89,5,5.6
Souillac,MU,-20.5167,57.5167,23.68,75,11,6.77
Kaliua,TZ,-5.0606,31.7936,18.21,99,100,1.99
Mergen,CN,49.1833,125.2167,8.49,48,100,2.26
Lucapa,AO,-8.4192,20.7447,18.62,95,65,0.86
Touros,BR,-5.1989,-35.4608,24.5,91,100,3.81
Arman',RU,59.7,150.1667,0.74,62,62,4.07
Mossamedes,AO,-15.1961,12.1522,21.07,82,1,2.72
Ribeira Brava,PT,32.65,-17.0667,18.34,88,100,4.77
Hoquiam,US,46.9809,-123.8893,13.53,83,100,4.63
Portland,US,45.5234,-122.6762,21.27,40,75,4.92
Deputatsky,RU,69.3,139.9,-11.6,89,100,1.72
Savinka,RU,50.0785,47.0994,10.65,75,100,3.04
Plouzané,FR,48.3833,-4.6167,11.03,97,100,2.06
Uvat,RU,59.1433,68.8953,0.62,92,35,2.56
Ozerna,UA,49.6289,25.329,10.16,90,100,4.53
Maningrida,AU,-12.0667,134.2667,30.38,62,35,1.64
Tuatapere,NZ,-46.1333,167.6833,14.63,69,40,6.57
Leningradskiy,RU,69.3833,178.4167,-5.17,86,93,1.35
Labuhan,ID,-6.8844,112.2051,27.42,81,41,2.97
Puerto Escondido,MX,15.85,-97.0667,28.46,74,75,0.0
Dunmore Town,BS,25.5,-76.65,24.3,71,100,9.68
Yulara,AU,-25.2406,130.9889,19.89,63,13,2.82
Chui,UY,-33.6971,-53.4616,17.98,62,0,5.84
Turukhansk,RU,65.8167,87.9833,-11.49,91,100,2.35
Sørland,NO,67.667,12.6934,4.53,91,100,4.41
Safi,MA,32.2994,-9.2372,14.82,76,0,3.73
Ust-Nera,RU,64.5667,143.2,-6.27,85,100,2.09
Ucluelet,CA,48.9329,-125.5528,9.17,92,100,0.89
Katsuura,JP,35.1333,140.3,20.32,73,18,0.73
Esim,GH,4.8699,-2.2405,24.45,84,100,2.62
Bariloche,AR,-41.1456,-71.3082,1.86,80,100,7.2
Elko,US,41.0002,-115.5012,13.13,24,6,4.47
Erzin,TR,36.9559,36.2,19.59,51,1,1.21
Māngrol,IN,21.1167,70.1167,26.81,68,0,5.7
Villa del Rosario,CO,7.8339,-72.4742,24.21,88,75,1.03
Tessalit,ML,20.1986,1.0114,24.65,12,0,4.01
Kaka,TM,37.3482,59.6143,19.02,55,100,1.86
Gramsh,AL,40.8697,20.1844,13.5,82,4,1.48
São Lourenço do Oeste,BR,-26.3592,-52.8511,16.82,96,0,1.98
Benicarló,ES,40.4165,0.4271,14.39,62,78,2.98
Namatanai,PG,-3.6667,152.4333,29.67,65,79,1.47
Kaniama,CD,-7.5667,24.1833,19.15,97,30,0.89
Viborg,DK,56.4532,9.402,6.46,79,7,3.46
Andilamena,MG,-17.0167,48.5833,17.76,95,100,3.12
Imperial Beach,US,32.5839,-117.1131,29.02,29,0,6.69
Kayanga,TZ,-1.5303,31.1511,13.46,97,96,1.08
Sechura,PE,-5.5569,-80.8222,21.25,75,79,8.1
Saskylakh,RU,71.9167,114.0833,-13.03,94,90,1.06
Skjervøy,NO,70.0311,20.9714,1.0,100,100,3.14
Tambo Grande,PE,-4.9269,-80.3447,25.97,64,100,3.94
Sur,OM,22.5667,59.5289,29.03,43,0,4.32
Kavieng,PG,-2.5744,150.7967,29.35,69,100,3.36
Los Llanos de Aridane,ES,28.6585,-17.9182,16.86,81,75,4.63
Acaraú,BR,-2.8856,-40.12,25.16,87,100,3.42
Bathsheba,BB,13.2167,-59.5167,26.34,78,40,9.26
Ol'ga,RU,43.7444,135.2892,15.3,34,1,3.0
Lumphat,KH,13.4878,106.9816,30.97,60,59,0.1
Temir,KZ,49.1414,57.13,4.76,51,14,3.01
Constitución,CL,-35.3333,-72.4167,12.37,92,87,1.34
Cabra,ES,37.4725,-4.4421,10.67,71,25,0.9
Liwale,TZ,-9.7667,37.9333,20.32,99,100,0.23
Ambilobe,MG,-13.2,49.05,22.09,84,3,2.06
Guangyuan,CN,32.442,105.823,17.99,64,18,2.2
Eydhafushi,MV,5.1033,73.0708,29.0,71,27,2.37
Paamiut,GL,61.994,-49.6678,-1.18,94,100,3.19
Vizinga,RU,61.0749,50.1031,0.92,91,100,2.33
Leh,IN,34.1667,77.5833,2.52,45,11,0.79
Prymors'k,UA,46.7348,36.3443,11.02,84,60,2.53
Anadyr,RU,64.75,177.4833,-0.72,64,0,4.0
Carnarvon,AU,-24.8667,113.6333,24.04,78,51,2.57
Östersund,SE,63.1792,14.6357,2.25,69,100,3.09
Santa Maria,BR,-29.6842,-53.8069,19.75,85,0,2.67
Opuwo,NA,-18.0607,13.84,17.72,50,1,1.86
Padang,ID,-0.9492,100.3543,24.03,80,100,1.15
Mumford,GH,5.2618,-0.759,26.52,84,100,1.81
Poum,NC,-20.2333,164.0167,25.32,70,94,6.72
Waliso,ET,8.5333,37.9833,15.9,79,100,0.79
Magadan,RU,59.5667,150.8,-0.09,67,31,2.49
Rawson,AR,-43.3002,-65.1023,14.09,34,1,12.22
Egvekinot,RU,66.3167,-179.1667,-5.25,79,20,1.62
Ikungi,TZ,-5.1333,34.7667,15.32,98,86,2.1
Lamu,KE,-2.2717,40.902,27.85,78,100,4.45
Barranca,PE,-10.75,-77.7667,19.65,84,49,3.41
Maués,BR,-3.3836,-57.7186,23.61,97,19,1.22
Coyhaique,CL,-45.5752,-72.0662,4.97,81,100,3.6
Taixing,CN,32.1667,120.0136,18.78,96,100,5.15
Gambēla,ET,8.25,34.5833,22.67,85,100,1.67
Mbanza-Ngungu,CD,-5.25,14.8667,19.41,97,96,1.12
Bonavista,CA,48.6499,-53.1147,2.28,93,100,8.85
Ryōtsu-minato,JP,38.0833,138.4333,17.51,73,100,2.12
College,US,64.8569,-147.8028,11.18,33,75,3.09
Mehamn,NO,71.0357,27.8492,0.63,81,100,2.22
Sinazongwe,ZM,-17.2614,27.4618,21.43,73,0,1.73
Rafaela,AR,-31.2503,-61.4867,19.77,93,6,3.04
Adrar,MR,20.5022,-10.0711,22.23,35,0,4.49
Nome,US,64.5011,-165.4064,3.42,87,100,0.0
Ossora,RU,59.2353,163.0719,-0.48,97,100,7.51
Kutum,SD,14.2,24.6667,23.85,11,71,2.04
Gazli,UZ,40.1333,63.45,15.47,51,0,4.17
Iwanai,JP,42.9744,140.5089,14.8,39,54,2.12
Kalmunai,LK,7.4167,81.8167,26.61,84,73,1.83
Cairns,AU,-16.9167,145.7667,26.7,100,75,3.6
Medvezh'yegorsk,RU,62.9167,34.4667,0.55,87,98,1.28
Waipawa,NZ,-41.4122,175.5153,13.93,62,85,1.18
Flums,CH,47.0906,9.343,9.64,93,100,1.4
Vaitape,PF,-16.5167,-151.75,27.47,71,28,3.27
Ilulissat,GL,69.2167,-51.1,-2.99,93,100,2.06
Stornoway,GB,58.2093,-6.3865,8.29,82,100,4.63
Omboué,GA,-1.5746,9.2618,25.51,89,100,0.7
Berezovyy,RU,51.6667,135.7,-0.22,87,91,1.51
Ilhéus,BR,-14.7889,-39.0494,24.29,89,15,2.68
Marzuq,YE,14.4,46.4667,20.01,53,5,2.58
Ixtapa,MX,20.7,-105.2,24.57,73,0,3.6
Pirna,DE,50.9584,13.937,9.53,96,100,4.28
Armidale,AU,-30.5167,151.65,14.37,61,96,5.12
Felanitx,ES,39.4696,3.1483,12.47,78,12,1.48
Ape,LV,57.5393,26.6929,5.95,96,100,1.54
Solhan,TR,38.9634,41.0293,11.01,62,0,1.74
Maniitsoq,GL,65.4167,-52.9,-2.82,90,100,2.94
Marawi,PH,7.9986,124.2928,25.91,71,65,1.3
Shimoda,JP,34.6667,138.95,20.66,77,75,1.62
Loudéac,FR,48.1783,-2.7543,9.85,93,27,3.2
Gimli,CA,50.6336,-96.9907,-3.62,93,100,11.95
Puro,PH,12.4841,123.3827,28.76,75,77,4.27
Aras,ES,42.5617,-2.356,5.24,93,0,0.0
Calbuco,CL,-41.768,-73.1273,6.56,78,85,6.82
Makubetsu,JP,45.3714,141.8211,8.93,51,100,5.33
Darhan,MN,49.4867,105.9228,-0.67,50,100,8.3
Gualeguay,AR,-33.1416,-59.3097,20.65,68,100,5.03
Rio Negrinho,BR,-26.2544,-49.5183,17.19,99,83,1.63
Pacific Grove,US,36.6177,-121.9166,20.06,74,0,2.68
Englehart,CA,47.8169,-79.8664,12.31,62,100,6.69
Santa Lucía,ES,27.9117,-15.5407,12.09,72,20,2.06
Cumana,VE,10.4635,-64.1775,25.53,87,29,6.05
Mehrān,IR,33.1222,46.1646,19.8,54,100,1.88
San Quintín,MX,30.4833,-115.95,20.56,50,0,4.54
Vila Velha,BR,-20.3297,-40.2925,25.97,85,75,5.81
Itoman,JP,26.1247,127.6694,27.43,87,40,4.63
Huntington,US,38.4193,-82.4452,23.12,65,100,1.91
Tooele,US,40.5308,-112.2983,11.61,43,0,4.12
Rudnya,RU,54.947,31.0934,7.24,88,100,4.31
Murgab,TM,37.4966,61.9714,20.61,45,15,3.82
Jacksonville,US,30.3322,-81.6556,23.35,78,20,4.12
Miramar,US,25.9873,-80.2323,25.57,73,0,7.2
